! COPPER MOUNTAIN TECHNOLOGIES, R140, 00130614, 23.3.1/3.0
! Date: 10/15/2024 10:00:00 PM
! Stimulus(Hz)     S11(Real)        S11(Imag)        
5.00000000E+08,  9.62757726E-01,  1.61212622E-01
5.12000000E+08,  9.76369667E-01,  1.74458997E-02
5.24000000E+08,  9.68578105E-01, -1.27313603E-01
5.36000000E+08,  9.39314932E-01, -2.69805635E-01
5.48000000E+08,  8.90472844E-01, -4.05245639E-01
5.60000000E+08,  8.21207056E-01, -5.34618021E-01
5.72000000E+08,  7.32758123E-01, -6.48756543E-01
5.84000000E+08,  6.28911446E-01, -7.50006838E-01
5.96000000E+08,  5.10710727E-01, -8.33764750E-01
6.08000000E+08,  3.81316256E-01, -8.98946773E-01
6.20000000E+08,  2.44986383E-01, -9.44229542E-01
6.32000000E+08,  1.02835884E-01, -9.69695346E-01
6.44000000E+08, -4.16010421E-02, -9.73751935E-01
6.56000000E+08, -1.83303065E-01, -9.56451146E-01
6.68000000E+08, -3.18979699E-01, -9.18728350E-01
6.80000000E+08, -4.49429043E-01, -8.59832692E-01
6.92000000E+08, -5.68335051E-01, -7.85561230E-01
7.04000000E+08, -6.74993183E-01, -6.94023692E-01
7.16000000E+08, -7.67026275E-01, -5.88155309E-01
7.28000000E+08, -8.42929213E-01, -4.69989497E-01
7.40000000E+08, -9.01903579E-01, -3.44340124E-01
7.52000000E+08, -9.41901995E-01, -2.10636421E-01
7.64000000E+08, -9.60198438E-01, -7.33242289E-02
7.76000000E+08, -9.59488408E-01,  6.55814919E-02
7.88000000E+08, -9.39882435E-01,  2.03956864E-01
8.00000000E+08, -9.01831237E-01,  3.36975368E-01
8.12000000E+08, -8.42114236E-01,  4.62270934E-01
8.24000000E+08, -7.68006561E-01,  5.79166871E-01
8.36000000E+08, -6.75763884E-01,  6.81259018E-01
8.48000000E+08, -5.70938493E-01,  7.74819700E-01
8.60000000E+08, -4.54166139E-01,  8.48684240E-01
8.72000000E+08, -3.25421224E-01,  9.04985301E-01
8.84000000E+08, -1.91548452E-01,  9.42437998E-01
8.96000000E+08, -5.26165937E-02,  9.60801255E-01
9.08000000E+08,  8.81241010E-02,  9.57238804E-01
9.20000000E+08,  2.27226457E-01,  9.35747328E-01
9.32000000E+08,  3.60279825E-01,  8.93377542E-01
9.44000000E+08,  4.90351571E-01,  8.30959663E-01
9.56000000E+08,  6.06808330E-01,  7.50514912E-01
9.68000000E+08,  7.10614764E-01,  6.52926296E-01
9.80000000E+08,  7.99492948E-01,  5.43027261E-01
9.92000000E+08,  8.71605122E-01,  4.17776320E-01
1.00400000E+09,  9.25062980E-01,  2.85205073E-01
1.01600000E+09,  9.57021435E-01,  1.45595426E-01
1.02800000E+09,  9.70202838E-01,  1.93007117E-03
1.04000000E+09,  9.58060714E-01, -1.42418675E-01
1.05200000E+09,  9.27796544E-01, -2.80842078E-01
1.06400000E+09,  8.74800570E-01, -4.15211229E-01
1.07600000E+09,  8.04194472E-01, -5.41586682E-01
1.08800000E+09,  7.13515339E-01, -6.54007867E-01
1.10000000E+09,  6.09574120E-01, -7.52358762E-01
1.11200000E+09,  4.90808929E-01, -8.33825893E-01
1.12400000E+09,  3.62364933E-01, -8.97400313E-01
1.13600000E+09,  2.25476459E-01, -9.40188813E-01
1.14800000E+09,  8.66277570E-02, -9.62785380E-01
1.16000000E+09, -5.59413208E-02, -9.63104244E-01
1.17200000E+09, -1.97034813E-01, -9.46381241E-01
1.18400000E+09, -3.32789299E-01, -9.05338120E-01
1.19600000E+09, -4.60321161E-01, -8.45142840E-01
1.20800000E+09, -5.79184522E-01, -7.67975308E-01
1.22000000E+09, -6.83245083E-01, -6.75299457E-01
1.23200000E+09, -7.71920162E-01, -5.68631637E-01
1.24400000E+09, -8.45921500E-01, -4.50970535E-01
1.25600000E+09, -9.01670883E-01, -3.23737630E-01
