! COPPER MOUNTAIN TECHNOLOGIES, R140, 00130614, 23.3.1/3.0
! Date: 10/15/2024 11:52:23 PM
! Stimulus(Hz)     S11(Real)        S11(Imag)        
5.00000000E+08,  8.50697979E-01, -4.43748846E-02
5.12000000E+08,  8.33560511E-01, -1.73385133E-01
5.24000000E+08,  7.96652232E-01, -2.97364441E-01
5.36000000E+08,  7.41346770E-01, -4.17007930E-01
5.48000000E+08,  6.71248845E-01, -5.23939886E-01
5.60000000E+08,  5.81992157E-01, -6.20381160E-01
5.72000000E+08,  4.80631527E-01, -7.00936790E-01
5.84000000E+08,  3.68393432E-01, -7.65390363E-01
5.96000000E+08,  2.46953699E-01, -8.11552671E-01
6.08000000E+08,  1.20748349E-01, -8.37972858E-01
6.20000000E+08, -7.06981844E-03, -8.46013059E-01
6.32000000E+08, -1.35062615E-01, -8.35646435E-01
6.44000000E+08, -2.60062648E-01, -8.03406499E-01
6.56000000E+08, -3.76560183E-01, -7.54823333E-01
6.68000000E+08, -4.84173771E-01, -6.89642611E-01
6.80000000E+08, -5.80996736E-01, -6.07812878E-01
6.92000000E+08, -6.64964103E-01, -5.14397047E-01
7.04000000E+08, -7.31751301E-01, -4.08674855E-01
7.16000000E+08, -7.83799087E-01, -2.94429608E-01
7.28000000E+08, -8.17631951E-01, -1.74610502E-01
7.40000000E+08, -8.33591041E-01, -5.17318342E-02
7.52000000E+08, -8.31565970E-01,  7.26802516E-02
7.64000000E+08, -8.09474930E-01,  1.95143635E-01
7.76000000E+08, -7.72218192E-01,  3.13279183E-01
7.88000000E+08, -7.15289124E-01,  4.24797861E-01
8.00000000E+08, -6.44962868E-01,  5.26290049E-01
8.12000000E+08, -5.57864250E-01,  6.15430392E-01
8.24000000E+08, -4.61565935E-01,  6.91185862E-01
8.36000000E+08, -3.52841730E-01,  7.51373409E-01
8.48000000E+08, -2.35416819E-01,  7.96385387E-01
8.60000000E+08, -1.13512309E-01,  8.23111391E-01
8.72000000E+08,  1.08004392E-02,  8.29334935E-01
8.84000000E+08,  1.35676100E-01,  8.18825124E-01
8.96000000E+08,  2.56294756E-01,  7.89360423E-01
9.08000000E+08,  3.71971803E-01,  7.40469849E-01
9.20000000E+08,  4.81601376E-01,  6.75833923E-01
9.32000000E+08,  5.77876947E-01,  5.95822006E-01
9.44000000E+08,  6.61560382E-01,  5.00151046E-01
9.56000000E+08,  7.28894405E-01,  3.93903910E-01
9.68000000E+08,  7.80042016E-01,  2.78301151E-01
9.80000000E+08,  8.12757767E-01,  1.56224300E-01
9.92000000E+08,  8.28035498E-01,  3.12346494E-02
1.00400000E+09,  8.23351938E-01, -9.58578158E-02
1.01600000E+09,  7.98640307E-01, -2.20029167E-01
1.02800000E+09,  7.55340141E-01, -3.39300576E-01
1.04000000E+09,  6.94076994E-01, -4.49313344E-01
1.05200000E+09,  6.18114177E-01, -5.50321542E-01
