Reference 2,,
f(GHz)           ,e1,e2
500000000,31.9876833333333,4.481762
512000000,31.9733566666667,4.58166933333333
524000000,31.9626266666667,4.657536
536000000,31.9434733333333,4.745072
548000000,31.92419,4.83228366666667
560000000,31.8998866666667,4.92070333333333
572000000,31.8715766666667,5.00810833333333
584000000,31.8392333333333,5.09728866666667
596000000,31.8057533333333,5.164391
608000000,31.7796033333333,5.232798
620000000,31.76305,5.306349
632000000,31.7425733333333,5.40054233333333
644000000,31.70202,5.50189533333333
656000000,31.63843,5.589815
668000000,31.5827766666667,5.67512033333333
680000000,31.5334333333333,5.756533
692000000,31.48123,5.83371533333333
704000000,31.42801,5.896839
716000000,31.3699,5.96090433333333
728000000,31.3157866666667,6.01840466666667
740000000,31.2613366666667,6.050292
752000000,31.22559,6.05456666666667
764000000,31.23795,6.03259366666667
776000000,31.3487566666667,6.026363
788000000,31.5151266666667,6.14689433333333
800000000,31.5985166666667,6.35992
812000000,31.5955966666667,6.58926966666667
824000000,31.5196933333333,6.780415
836000000,31.4292533333333,6.92535266666667
848000000,31.3374066666667,7.04070966666667
860000000,31.2581066666667,7.139901
872000000,31.1800166666667,7.240266
884000000,31.1042833333333,7.32846066666667
896000000,31.0230333333333,7.39877666666667
908000000,30.9451,7.468748
920000000,30.8746366666667,7.53088866666667
932000000,30.82446,7.605499
944000000,30.7591333333333,7.69002933333333
956000000,30.69385,7.77695233333333
968000000,30.6248833333333,7.86313633333333
980000000,30.5615633333333,7.94185733333333
992000000,30.4969466666667,8.00454733333333
1004000000,30.4364,8.07747866666667
1016000000,30.3817666666667,8.157729
1028000000,30.3211066666667,8.238609
1040000000,30.2550833333333,8.319768
1052000000,30.19083,8.39289266666667
1064000000,30.12081,8.460018
1076000000,30.05522,8.52194866666667
1088000000,29.98963,8.58827733333334
1100000000,29.9197266666667,8.65401733333333
1112000000,29.8491266666667,8.71274233333333
1124000000,29.7783733333333,8.776325
1136000000,29.7075866666667,8.83068333333333
1148000000,29.63513,8.89345466666667
1160000000,29.5637933333333,8.94855866666667
1172000000,29.4908533333333,8.997315
1184000000,29.41889,9.04842833333333
1196000000,29.3483566666667,9.095536
1208000000,29.2808466666667,9.144635
1220000000,29.2092,9.19615
1232000000,29.13705,9.24979266666667
1244000000,29.06155,9.30747
1256000000,28.9835633333333,9.356375
1268000000,28.9071433333333,9.39319566666667
1280000000,28.8276166666667,9.41234766666667
1292000000,28.7479766666667,9.42735766666667
1304000000,28.68542,9.42884833333333
1316000000,28.6434833333333,9.41526366666667
1328000000,28.6322433333333,9.404373
1340000000,28.6549866666667,9.41227733333333
1352000000,28.67714,9.448721
1364000000,28.7036666666667,9.499136
1376000000,28.7456866666667,9.575862
1388000000,28.76279,9.69169833333333
1400000000,28.75169,9.826443
1412000000,28.70556,9.96625666666667
1424000000,28.64375,10.0862333333333
1436000000,28.5645866666667,10.1980333333333
1448000000,28.4752233333333,10.2979366666667
1460000000,28.3802233333333,10.3885566666667
1472000000,28.2841766666667,10.47271
1484000000,28.1868266666667,10.54353
1496000000,28.08843,10.61029
1508000000,27.9927666666667,10.67619
1520000000,27.9026266666667,10.7405233333333
1532000000,27.81522,10.8015833333333
1544000000,27.73219,10.8521833333333
1556000000,27.6458333333333,10.8954333333333
1568000000,27.55949,10.9452933333333
1580000000,27.4776366666667,10.9954033333333
1592000000,27.3969666666667,11.0410333333333
1604000000,27.3129266666667,11.08928
1616000000,27.23822,11.1307333333333
1628000000,27.1553033333333,11.17459
1640000000,27.0775366666667,11.21318
1652000000,27.0007966666667,11.2481366666667
1664000000,26.9199466666667,11.2845233333333
1676000000,26.8420833333333,11.3178633333333
1688000000,26.76447,11.3507066666667
1700000000,26.6859433333333,11.38548
1712000000,26.6072633333333,11.4206366666667
1724000000,26.5309566666667,11.45319
1736000000,26.4540366666667,11.4838166666667
1748000000,26.3764166666667,11.5078533333333
1760000000,26.2993533333333,11.5359133333333
1772000000,26.22445,11.5669333333333
1784000000,26.1459633333333,11.5971066666667
1796000000,26.0705866666667,11.6336833333333
1808000000,25.9961733333333,11.6690633333333
1820000000,25.9259433333333,11.7043133333333
1832000000,25.8576533333333,11.7317566666667
1844000000,25.78557,11.75072
1856000000,25.7134633333333,11.7728533333333
1868000000,25.6441466666667,11.7977066666667
1880000000,25.5756533333333,11.8187666666667
1892000000,25.50785,11.83793
1904000000,25.44264,11.8526733333333
1916000000,25.3753333333333,11.86735
1928000000,25.3090933333333,11.8815566666667
1940000000,25.24608,11.89655
1952000000,25.1878666666667,11.9106566666667
1964000000,25.1323566666667,11.92324
1976000000,25.08249,11.94261
1988000000,25.0362233333333,11.96205
2000000000,24.98801,11.9940533333333
2012000000,24.9407133333333,12.02082
2024000000,24.8885166666667,12.0561633333333
2036000000,24.8336133333333,12.0926266666667
2048000000,24.7728833333333,12.13156
2060000000,24.70632,12.16977
2072000000,24.63449,12.20946
2084000000,24.5634366666667,12.24989
2096000000,24.4916366666667,12.2897033333333
2108000000,24.4258533333333,12.32684
2120000000,24.3598333333333,12.3554233333333
2132000000,24.2903366666667,12.3778233333333
2144000000,24.2207166666667,12.4052666666667
2156000000,24.1534933333333,12.4330166666667
2168000000,24.0867533333333,12.4579766666667
2180000000,24.0090466666667,12.48888
2192000000,23.9363333333333,12.5138733333333
2204000000,23.8681233333333,12.5349666666667
2216000000,23.7951166666667,12.5583166666667
2228000000,23.72496,12.58119
2240000000,23.6550733333333,12.60338
2252000000,23.58818,12.6182766666667
2264000000,23.5206666666667,12.6360233333333
2276000000,23.4548266666667,12.6497666666667
2288000000,23.38669,12.6647433333333
2300000000,23.31685,12.6778533333333
2312000000,23.2458566666667,12.6909866666667
2324000000,23.1733133333333,12.7018933333333
2336000000,23.1008,12.7168366666667
2348000000,23.02582,12.7333766666667
2360000000,22.9502866666667,12.7524166666667
2372000000,22.87973,12.7731
2384000000,22.8113366666667,12.7934866666667
2396000000,22.74605,12.80659
2408000000,22.6817033333333,12.8126366666667
2420000000,22.61455,12.8187933333333
2432000000,22.5499966666667,12.8265833333333
2444000000,22.4873466666667,12.8330933333333
2456000000,22.4231333333333,12.8366433333333
2468000000,22.35992,12.83819
2480000000,22.29679,12.83939
2492000000,22.2309666666667,12.8417466666667
2504000000,22.16642,12.84465
2516000000,22.1019633333333,12.84929
2528000000,22.03771,12.85276
2540000000,21.97575,12.8548733333333
2552000000,21.91371,12.8623433333333
2564000000,21.8538333333333,12.8682066666667
2576000000,21.7963066666667,12.8674
2588000000,21.74114,12.8678366666667
2600000000,21.6857,12.8642033333333
2612000000,21.6293766666667,12.86103
2624000000,21.5722333333333,12.8578933333333
2636000000,21.51251,12.8563733333333
2648000000,21.45628,12.8603433333333
2660000000,21.4040633333333,12.8673466666667
2672000000,21.3562233333333,12.87476
2684000000,21.3122066666667,12.8770566666667
2696000000,21.26664,12.8758366666667
2708000000,21.2189666666667,12.87707
2720000000,21.1735433333333,12.88335
2732000000,21.1291633333333,12.89031
2744000000,21.08604,12.8956466666667
2756000000,21.0405766666667,12.9031966666667
2768000000,20.9922066666667,12.9137333333333
2780000000,20.9433533333333,12.9240966666667
2792000000,20.8947233333333,12.9343133333333
2804000000,20.8400066666667,12.94989
2816000000,20.78563,12.96434
2828000000,20.72937,12.9774566666667
2840000000,20.6744766666667,12.98813
2852000000,20.6185233333333,13.0014233333333
2864000000,20.5622633333333,13.01139
2876000000,20.5060166666667,13.0173
2888000000,20.44659,13.02421
2900000000,20.38423,13.0281266666667
2912000000,20.3213333333333,13.0350733333333
2924000000,20.2550333333333,13.0417366666667
2936000000,20.1914233333333,13.05231
2948000000,20.1307633333333,13.0639566666667
2960000000,20.0732933333333,13.07051
2972000000,20.0153733333333,13.06951
2984000000,19.9568466666667,13.0663533333333
2996000000,19.8974866666667,13.0645966666667
3008000000,19.8403333333333,13.0641033333333
3020000000,19.78467,13.0608466666667
3032000000,19.7294166666667,13.0573633333333
3044000000,19.6722966666667,13.05155
3056000000,19.6175266666667,13.04485
3068000000,19.5605166666667,13.038
3080000000,19.5045533333333,13.0326033333333
3092000000,19.4454633333333,13.03309
3104000000,19.3924733333333,13.02799
3116000000,19.3403133333333,13.0264633333333
3128000000,19.28938,13.0204766666667
3140000000,19.2399966666667,13.01436
3152000000,19.1903666666667,13.00573
3164000000,19.1399833333333,12.9993066666667
3176000000,19.08794,12.98825
3188000000,19.0326266666667,12.9794166666667
3200000000,18.97701,12.9734966666667
3212000000,18.9212933333333,12.9721633333333
3224000000,18.8696133333333,12.9754733333333
3236000000,18.8226,12.97634
3248000000,18.7774466666667,12.9727
3260000000,18.7328366666667,12.9644766666667
3272000000,18.6865666666667,12.9524
3284000000,18.63963,12.94441
3296000000,18.5957366666667,12.93633
3308000000,18.55255,12.9262533333333
3320000000,18.5076666666667,12.9157466666667
3332000000,18.4639433333333,12.9055733333333
3344000000,18.41994,12.8948266666667
3356000000,18.3719266666667,12.8863566666667
3368000000,18.3266566666667,12.8776366666667
3380000000,18.2789,12.8710066666667
3392000000,18.2332033333333,12.86559
